d.cod_familiar_fam,membros_domicilios,bairro,rpa,TP-04,TP-05,TP-06,TP-07,TC-09,TC-10,TC-12,vlr_TP_04,vlr_TP_05,vlr_TP_06,vlr_TP_07,vlr_TC_09,vlr_TC_10,vlr_TC_12,vlr_final_domicilio
1338785702,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1467117340,1,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1604124474,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
1604124474,1,SANTO ANTONIO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
2663223441,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
2670842933,4,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3303572631,1,DOIS IRMAOS,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3881193812,1,SANTO ANTONIO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
3907029275,1,NOVA DESCOBERTA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4084542377,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4106645378,1,NOVA DESCOBERTA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4168780759,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4173970382,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4346366813,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4566894002,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4573066454,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4757679777,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4815236933,5,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4943400701,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
4966827922,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5018949007,1,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5158771073,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5203672008,1,CASA AMARELA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5273427770,1,BONGI,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5277498001,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5315640450,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5327016587,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5393209355,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5597521560,1,TAMARINEIRA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5654590669,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5672604374,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5684337341,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5823357443,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5909118480,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
5955838651,1,TORROES,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6013591512,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6026564942,1,CASA AMARELA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6074750645,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6087713093,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6091872796,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6169496347,1,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6171578983,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6267872203,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6267891925,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6283415040,1,SANCHO,5,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6337966627,1,TAMARINEIRA,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6469426115,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6503593481,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6504384428,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6506922761,1,ZUMBI,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6570274481,1,MADALENA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6634273987,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6651818090,1,ENCRUZILHADA,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6677922367,1,COELHOS,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6772218000,1,SANTO AMARO,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6776337420,1,CORDEIRO,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6778278579,1,SITIO DOS PINTOS,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6793896873,1,CAXANGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6825476548,1,BOA VIAGEM,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6837922378,1,IMBIRIBEIRA,6,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6915427163,1,DERBY,3,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
6954633305,1,CAMPO GRANDE,2,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7055559685,1,SAO JOSE,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7059038507,1,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7181963171,1,IPUTINGA,4,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
7209268669,2,BOA VISTA,1,0,0,1,0,1,0,0,0.0,,854.43,,12094.26,0.0,0.0,12948.69
